WBM Date;1 Direction;MCR;P!atD;FOB;Twenty-One Pilots;Beatles;NSYNC;Taylor Swift;Bandom (Overall)
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 23, 09;0;159;137;108;;11;155;;0
Apr 7, 10;0;391;337;315;0;28;395;;192
Jun 13, 10;0;431;412;350;0;28;394;;1,496
Sep 22, 10;0;504;516;424;;28;400;;1,874
Oct 25, 10;0;547;541;453;0;34;402;;2,046
Dec 28, 10;0;590;572;471;0;37;404;6;2,182
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Sep 24, 11;0;1,420;1,285;714;0;97;589;15;4,668
Dec 30, 99;;;;;;;;;
Jan 14, 12;0;1,970;1,599;948;0;107;708;20;6,068
Dec 30, 99;;;;;;;;;
May 19, 12;95;2,818;2,009;1,145;0;148;777;23;7,663
Jun 14, 12;208;2,934;2,042;1,154;0;151;789;23;7,991
Jul 30, 12;506;3,220;2,196;1,254;0;158;805;25;8,623
Oct 24, 12;1,221;3,591;2,339;1,400;0;167;805;27;9,455
Jan 4, 13;3,282;3,942;2,518;1,483;0;183;845;39;10,313
Dec 30, 99;;;;;;;;;
Jun 23, 13;10,691;5,010;2,816;1,832;0;228;890;48;12,598
Oct 9, 13;15,513;5,608;2,973;2,012;0;258;915;60;13,865
Nov 23, 13;17,418;5,779;2,984;2,075;0;268;931;60;14,331
Jan 22, 14;20,696;6,053;3,089;2,274;26;307;961;62;14,895
Apr 4, 14;23,515;6,446;3,241;2,436;70;358;1,002;70;15,984
Jul 5, 14;26,011;6,925;3,411;2,690;134;403;1,019;74;17,132
Oct 4, 14;29,250;7,467;3,554;2,947;241;420;1,042;86;18,165
Jan 21, 15;33,446;8,065;3,741;3,368;453;471;1,070;161;19,772
May 12, 15;36,994;8,802;3,902;3,959;616;532;1,092;203;21,580
Jun 23, 15;38,396;9,057;3,977;4,229;882;547;1,092;249;22,429
Aug 13, 15;40,201;9,437;4,180;4,665;1,251;579;1,098;285;23,818
Oct 2, 15;41,619;9,763;4,363;5,047;1,544;602;1,104;301;25,039
Jan 7, 16;44,499;10,314;4,618;5,619;2,078;645;1,016;346;26,921
Apr 6, 16;46,389;10,778;4,879;6,130;2,609;703;1,118;375;28,491
Jul 5, 16;46,424;11,369;5,257;6,708;3,501;756;1,122;405;30,712
Sep 24, 16;47,363;11,898;5,686;7,173;4,535;845;1,140;443;33,001
Jan 9, 17;48,350;12,399;6,168;7,693;5,738;954;1,156;475;35,581
Apr 3, 17;49,003;12,690;6,428;7,900;6,566;1,102;1,162;479;37,277
Jul 7, 17;51,358;12,983;6,812;8,184;7,237;1,203;1,176;488;38,892
Oct 10, 17;51,949;13,181;7,040;8,570;7,681;1,287;1,167;499;40,032
Jan 2, 18;52,539;13,393;7,153;8,830;7,901;1,329;1,169;516;40,918
Apr 2, 18;53,073;13,596;7,296;9,074;7,912;1,424;1,201;556;41,596
Jul 17, 18;53,967;13,929;7,522;9,378;7,954;1,520;1,260;576;42,679
Dec 30, 99;;;;;;;;;
Oct 30, 18;54,656;14,177;7,698;9,582;8,146;1,649;1,285;626;43,829
Jan 5, 19;55,254;14,415;7,818;9,749;8,410;1,718;1,301;642;44,682
Apr 1, 19;56,125;14,565;7,887;9,918;8,706;1,842;1,360;652;45,822
Jul 1, 19;56,405;14,740;7,918;9,958;8,882;2,016;1,334;662;46,528
Oct 3, 19;56,778;14,869;7,988;10,069;9,004;2,381;1,348;690;47,532
Jan 1, 20;57,665;15,078;8,021;10,193;9,057;2,640;1,360;714;48,532
Apr 1, 20;57,204;15,379;8,034;10,361;9,051;2,966;1,354;730;49,668
Jul 1, 20;57,948;15,707;8,028;10,445;8,987;3,408;1,367;753;50,886
Oct 1, 20;58,489;15,992;7,946;10,446;8,990;3,746;1,356;798;51,821
Jan 1, 21;59,203;16,301;7,862;10,438;8,939;4,043;1,304;847;52,685
Apr 1, 21;59,942;16,525;7,818;10,329;8,883;4,327;1,332;981;53,436
Jul 1, 21;60,492;16,765;7,757;10,353;8,735;4,631;1,341;946;54,319
Oct 1, 21;60,957;17,065;7,721;10,473;8,737;4,910;1,351;1,005;55,394
Jan 1, 22;61,705;17,391;7,719;10,627;8,699;5,138;1,354;1,097;56,536
Apr 1, 22;62,287;17,586;7,690;10,679;8,666;5,354;1,360;1,139;57,105
Jul 1, 22;62,741;17,958;7,695;10,713;8,646;5,605;1,362;1,193;57,953
Aug 2, 22;62,660;18,150;7,658;10,700;8,641;5,628;1,365;1,201;57,972
Sep 20, 22;63,389;18,417;7,669;10,703;8,643;5,762;1,369;1,231;58,629
Oct 23, 22;63,748;18,681;7,657;10,693;8,662;5,871;1,384;1,260;59,118
Jan 1, 23;63,436;18,801;7,512;10,581;8,685;5,998;1,323;1,289;59,255
Mar 3, 23;64,016;19,203;7,506;10,619;8,698;6,074;1,336;1,290;59,693
Apr 3, 23;64,232;19,486;7,511;10,611;8,708;6,139;1,338;1,240;60,088
Jun 30, 23;70,664;21,726;8,478;11,598;8,942;6,479;1,607;1,427;15,037
Oct 1, 23;71,341;22,216;8,512;11,872;8,959;6,677;1,611;1,662;15,136
Jan 1, 24;72,116;22,701;8,540;12,247;8,963;6,941;1,626;1,855;15,272
Apr 1, 24;72,537;22,995;8,575;12,496;9,010;7,169;1,624;2,048;15,412
Jun 30, 24;73,042;23,263;8,596;12,772;9,217;7,359;1,637;2,344;15,576
Oct 1, 24;73,719;23,616;8,648;13,055;9,566;7,604;1,644;2,585;15,751
Jan 1, 25;74,304;24,066;8,721;13,337;10,025;8,039;1,657;2,786;15,876
Apr 1, 25;74,931;24,539;8,760;13,489;10,468;8,444;1,695;2,954;15,856
Jul 1, 25;75,765;25,182;8,846;13,712;11,034;8,606;1,708;3,099;15,981
Oct 3, 25;76,382;26,922;8,997;14,108;11,686;9,043;1,714;3,287;16,308
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
