WBM;Vocaloid;Homestuck;WBM;Hamilton;Phandom;Wrestling;Rooster Teeth;Youtube RPF;WTNV;Les Mis;Hermitcraft;DSMP;Hololive
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
06/30/23;;17,100;06/30/23;26,200;15,000;;;;;;;45,300;
10/01/23;13,600;17,100;10/01/23;26,100;14,900;17,400;2,800;78,500;360;1,100;3,900;44,800;
Jan 1, 24;13,800;17,200;;26,200;14,900;17,500;2,800;79,000;363;1,100;4,000;44,000;
Apr 1, 24;;;;;;;;;;;;;
Jun 30, 24;12,838;13,519;;21,170;11,692;11,879;1,974;61,916;328;964;3,675;32,086;1184
Oct 1, 24;14,651;17,180;;26,208;14,713;18,092;2,892;78,788;356;1,146;4,353;41,524;1666
Jan 1, 25;14,822;17,220;;26,260;14,695;18,203;2,894;78,764;357;1,155;4,449;41,178;1692
Apr 1, 25;13,819;16,184;;22,186;12,501;16,471;2,640;69,661;329;1,044;4,225;38,187;1660
Jul 1, 25;13,830;16,088;;21,831;12,191;16,380;2,634;68,767;327;1,036;4,277;37,676;1716
Oct 3, 25;13,547;16,031;;21,688;11,999;16,368;2,619;68,309;327;1,026;4,339;37,243;1742
Jan 1, 26;9,435;15,874;;21,546;11,730;16,185;2,612;67,603;321;1,028;4,387;36,843;1767
Dec 30, 99;;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;
