Animanga,Games,TV,Cartoons,Books,Kpop,MCU,Movies,Other,RPF,Musicals,Bandom
(1987 / 2012) JJBA,(1986) Legend of Zelda,(1966) Star Trek,(1982 / 2010) My Little Pony,(1997) Harry Potter,BTS,,(2012) MCU,(2009) Homestuck,(2010) Dan & Phil (“Phandom”),(2015) Hamilton,MCR
(1995) Sailor Moon,(1990 / 2003) Fire Emblem,(1993 / 2016) X-Files,(1984 / 2016) Voltron,(2005) Twilight,EXO,(2008-5) Iron Man,(1977) Star Wars,(2016) The Adventure Zone,(2020) DSMP,Les Miserables,Panic! At the Disco
(1996 / 2002) Inuyasha,(1991) Sonic,(1997) Buffy,(1997) Daria,(2005) Percy Jackson,Shinee,(2008-6) The Incredible Hulk,,,Rooster Teeth,Phantom of the Opera,(2010) 1 Direction
(2000) Cardcaptor Sakura,(1996) Pokemon,(1997) Stargate,(1998 / 2016) PowerPuff Girls,(1937) Tolkien,Red Velvet,(2010-4) Iron Man 2,,,Hermitcraft,RENT,
(2001 / 2004) Bleach,(1997) Final Fantasy,(2005) Dr. Who,(2001) Invader Zim?,(2013) Hunger Games,Twice,(2011-4) Thor,,,Professional Wrestling,,
(2001 / 2007) Prince of Tennis,(2002) Kingdom Hearts,(2005) Supernatural,(2002) Kim Possible,(2003) Warriors,BlackPink,(2011-9) Thor DVD “The Consultant”,,(2012) Welcome to Night Vale,,,
(2002) Fruits Basket,(2009) Dragon Age,(2008) Merlin,(2003) Teen Titans,(1991) A Song of Ice and Fire,NCT,(2011-10) Captain America: The First Avenger,,Vocaloid,,,
(2004) Fullmetal Alchemist,(2009) League of Legends,(2009) Glee,(2004) Danny Phantom,,Stray Kids,(2012-4) The Avengers / “Avengers Assemble”,,,,,
(2005 / 2009) Naruto,(2009) Minecraft,(2010) Sherlock,(2005 / 2012) AtLA / LoK,,Seventeen,(2012-9) Avengers DVD “Item 47”,,,,,
(2008) Soul Eater,(2009) Persona,(2010) The Walking Dead,(2012) Gravity Falls?,,TXT,(2013-4) Iron Man 3,,,,,
(2009) Fairy Tail,(2010) DanganRonpa,(2011) Teen Wolf,(2013) Steven Universe,,GOT7,(2013-9) Iron Man 3 DVD “Agent Carter”,,,,,
(2009) Hetalia,(2014) FnaF,(2011) Once Upon a Time,(2015) Miraculous Ladybug,,Monsta X,(2013-9) Agents of SHIELD (TV),,,,,
(2011) Blue Exorcist,(2015) Undertale,(2012) MCU,(2015) Star vs. the Forces of Evil?,,Loona,(2013-11) Thor: The Dark World,,,,,
(2011) Madoka Magica,(2016) Mystic Messenger,,(2018) SPOP,,,(2014-2) Thor: The Dark World DVD “All Hail the King”,,,,,
(2013) Attack on Titan,(2016) Overwatch,,(2007) Total Drama,,,(2014-3) Captain America: the Winter Soldier,,,,,
(2014) Haikyuu,(2020) Genshin,,,,,(2014-7) Guardians of the Galaxy,,,,,
(2015) My Hero Academia,(2023) Honkai Star Rail,,,,,(2015-1) Agent Carter (TV),,,,,
(2016) Yuri!!! on Ice,,,,,,(2015-4) Dardevil (TV),,,,,
(2019) Spy x Family,,,,,,(2015-4) Avengers: Age of Ultron,,,,,
(2011) RWBY,,,,,,(2015-7) Ant-Man,,,,,
,,,,,,(2015-11) Jessica Jones (TV),,,,,
,,,,,,(2016-4) Captain America: Civil War,,,,,
,,,,,,(2016-9) Luke Cage (TV),,,,,
,,,,,,(2016-10) Doctor Strange,,,,,
,,,,,,,,,,,
,,,,,,The Avengers,,,,,
,,,,,,Thor,,,,,
,,,,,,Captain America,,,,,
,,,,,,Guardians of the Galaxy,,,,,
,,,,,,,,,,,
,,,,,,Agents of SHIELD,,,,,
,,,,,,Agent Carter,,,,,
,,,,,,Daredevil,,,,,
,,,,,,Jessica Jones,,,,,
