title,author,fandoms,category,relationships,characters,freeforms,rating,warnings,date,words,chapters,summary,comments,kudos,bookmarks,hits,link
"we go to camelot","Plagg","The Magnus Archives (Podcast)","F/M, Gen, M/M, Multi","Martin Blackwood/Sasha James/Jonathan ""Jon"" Sims | The Archivist/Tim Stoker, Martin Blackwood/Jonathan ""Jon"" Sims | The Archivist, Jonathan ""Jon"" Sims | The Archivist/Tim Stoker, Martin Blackwood/Tim Stoker, Sasha James/Tim Stoker, Sasha James/Jonathan ""Jon"" Sims | The Archivist, Martin Blackwood/Sasha James","Tim Stoker (The Magnus Archives), Sasha James, Martin Blackwood, Jonathan ""Jon"" Sims | The Archivist, Elias Bouchard, Peter Lukas, Melanie King, Basira Hussain","Tim Stoker Lives (The Magnus Archives), Sasha James Lives, Alternate Universe - Everyone Lives/Nobody Dies, Asexual Jonathan ""Jon"" Sims | The Archivist, Autistic Jonathan ""Jon"" Sims | The Archivist, The Mechanisms Were Jonathan ""Jon"" Sims | The Archivist's College | University Band, Polyamorous Martin Blackwood/Sasha James/Jonathan ""Jon"" Sims | The Archivist/Tim Stoker, Elias Bouchard Being a Bastard, Chatting & Messaging, Fluff, Serial Divorcees Elias Bouchard/Peter Lukas, Minor Elias Bouchard/Peter Lukas, also there's a cat now, The Magnus Archives (Podcast) as a Workplace Comedy, Tim Stoker Has ADHD (The Magnus Archives), this was just supposed to be a silly haha fic and now it has just. so much plot going on, everyone is in love and stupid and its great, Minor Original Character(s), (one is a cat and a few will be avatars), i have kicked jonny out of the sandbox and taken over, author is very american i'm so sorry, Multiple Archivists, the fear entities are somewhat sentient, Elias Bouchard Has a Bad Time, i'm so happy thats a tag what, Melanie King & Jonathan ""Jon"" Sims | The Archivist Friendship","Teen And Up Audiences","No Archive Warnings Apply","17 May 2023","150,161","=""66/?""","sash added arrjonny to the chat


  


  arrjonny changed their name to jon

strokerstoker: wait wait WAIT SAHAS YOU DID NOT PROPERLY WARN MEsash: WE ARE TRYING TO PISS OFF ELIAS HE STAYS---I am throwing canon out the window and rewriting the series with fun text messages, polyamory, and bullying Elias.","1358","698","115","17148","http://ao3.org/works/45731656"
"Hata-Maou Chatfic!","GalaxySerpent0521","Hataraku Maou-Sama! | The Devil Is a Part-Timer!","Gen","","Urushihara Hanzou | Lucifer, Maou Sadao | Satan Jacob, Ashiya Shirou | Alciel, Yusa Emi | Emilia Justina, Kamazuki Suzuno | Crestia Bell, Suzuki Rika, Gabriel (The Devil Is a Part-Timer), Sarue Mitsuki | Sariel, Sasaki Chiho, Alas Ramus, Emerada Etuva","Chatting & Messaging, Not Canon Compliant, The Author Regrets Nothing, Found Family, Fluff, Urushihara is a menace, In honor of Season 2, Late Night Conversations, Urushihara Hanzou | Lucifer and Sasaki Chiho Friendship, Urushihara Hanzou | Lucifer and Yusa Emi | Emilia Justina Friendship, Urushihara Hanzou | Lucifer and Kamazuki Suzuno | Crestia Bell Friendship, Urushihara and Emi Are Cousins, Everyone Has Issues, They Just Don't Talk About Them Much, Emi is one too, Ashiya is tired of it, And so is Maou, Sassy Suzuno, i think, There are so many tags on this omg, Pranks are involved, This is basically just everyone being okay with each other, :D","Not Rated","Creator Chose Not To Use Archive Warnings","16 May 2023","33,987","=""35/?""","I couldn't find a Hataraku Maou-Sama Chatfic. So I made one myself! :D
 
Updates will be random. Might drop a boatload of chapters at once, might just be one or two. Either way, it gets updated.","33","45","9","1370","http://ao3.org/works/41508036"
"Here's to Lost Causes","whenskiesaregray","Grishaverse - Fandom","F/F, M/M","Nikolai Lantsov/Mal Oretsev, Zoya Nazyalensky/Alina Starkov","","Texting, Alternate Universe - College/University, Enemies to Lovers, Sort Of, Strangers to Lovers, Friends to Lovers, but they think they're strangers, Zoya and Alina being the messiest, Lesbian Alina Starkov, Bisexual Zoya Nazyalensky, Bisexual Nikolai Lantsov, Bisexual Mal Oretsev, He/They Mal Oretsev, Platonic Soulmates Nikenya, Platonic Soulmates Malina, Zoya Nikolai and Genya are Flatmates, Mal and Alina are also flatmates, Drunk Texting, One Night Stands, romcom, idrk what this is gonna be yet but, No Beta, we die like babygirl harshaw, RIP, maybe ill put him in here who knows","General Audiences","Creator Chose Not To Use Archive Warnings","16 May 2023","4,514","=""1/1""","Nikolai hates these stuffy galas, but Zoya, his flatmate, promises to attend with him. As a joke, when Zoya gets a new phone, she gives Nikolai the wrong number. When Zoya neglects to show at the auction due to a mishap with a drunk Alina, Nikolai attempts to contact her. Little do either of them know, the number Zoya gave him actually belongs to Nikolai's Environmental Science lab partner and bane of his existence, Malyen Oretsev. Chaos ensues.","","","","6","http://ao3.org/works/47227267"
"Louder then our love","FoggyFjord","Harry Potter - J. K. Rowling","F/F, F/M, Gen, M/M, Multi, Other","Sirius Black/Remus Lupin, James Potter/Lily Evans Potter, Marlene McKinnon/Dorcas Meadowes, Barty Crouch Jr./Evan Rosier","Sirius Black, Remus Lupin, James Potter, Lily Evans Potter, Marlene McKinnon, Mary Macdonald, Dorcas Meadowes, Peter Pettigrew, Regulus Black, Narcissa Black Malfoy, Pandora Lovegood, Lucius Malfoy, Orion Black, Walburga Black, Bellatrix Black Lestrange, Albus Dumbledore, Barty Crouch Jr., Evan Rosier, Nymphadora Tonks, Andromeda Black Tonks, Ted Tonks, Hope Lupin, Molly Weasley, Arthur Weasley, Severus Snape","Alternate Universe - Modern Setting, Alternate Universe - Modern: No Powers, Band Fic, Texting, text fic, Kinda, Half text half normal fic, Marauders but not as you know, Marauders is the name of the band, Singer Sirius Black, Marauders is basically like the band Ghost, Author Remus Lupin, Remus basically wrote Good Omens, Chronically Ill Remus Lupin, Chronic Illness, Chronic Pain, Gay Sirius Black, Gay Remus Lupin, Desi James Potter, Other Additional Tags to Be Added, Slow Burn, Eventual Smut, Friends to Lovers, Strangers to Lovers, No Beta","Mature","Graphic Depictions Of Violence, No Archive Warnings Apply","16 May 2023","1,879","=""1/20""","Unknown: Regulus I swear to fuck if you’ve given me a fake number again I will find you and murder you in your sleep
Me: Unfortunately you will have to plan a murder, I want no part of it, in exchange for my silence I will take the name Regulus for a project
———
Remus is a world renowned author but uses a fake name due to his chronic illnesses and likes his privacy and small circle.Sirius is the lead singer of an alternative band called The Marauders who accidentally texts the wrong number thinking it’s his brother.
Surely we’ve seen this before?","","1","","10","http://ao3.org/works/47223883"
"Oblivisci me non (Forget me not.)","aesthrks","MILGRAM (Music Videos)","M/M","Kajiyama Fuuta/Kayano Mikoto","Kajiyama Fuuta, Kayano Mikoto, Everyone is here but the ones I tag are more present in the story, Shiina Mahiru, Kusunoki Mu","Hanahaki Disease, Texting, Flashbacks, Angst and Hurt/Comfort, One-Sided Relationship, One-Sided Attraction, POV Switches, Not Beta Read, Did I mention flashbacks, i love flashbacks","Not Rated","Creator Chose Not To Use Archive Warnings","16 May 2023","3,342","=""2/?""","""Promise you won't forget me?""""Promise.""
Promises are made to be broken, are they not?","2","13","1","65","http://ao3.org/works/47209141"
"Bitches, Bros and Non-binary hoes","Crispymocha_3","Shingeki no Kyojin | Attack on Titan","Multi","Armin Arlert/Eren Yeager, Mikasa Ackerman/Annie Leonhart, Marco Bott/Jean Kirstein, Reiner Braun/Bertolt Hoover, Ymir Fritz/Krista Lenz | Historia Reiss, Sasha Blouse & Connie Springer","Armin Arlert, Eren Yeager, Mikasa Ackerman, Annie Leonhart, Marco Bott, Jean Kirstein, Reiner Braun, Bertolt Hoover, Ymir Fritz, Krista Lenz | Historia Reiss, Sasha Blouse, Connie Springer","Chatting & Messaging, Everyone Is Gay, Video Series: A Slap on Titan (Shingeki no Kyojin), Alternate Universe - College/University, How Do I Tag, My First Fanfic","Teen And Up Audiences","No Archive Warnings Apply","16 May 2023","2,016","=""3/?""","A random aot chatfic I’ll try to update once a week","4","21","1","227","http://ao3.org/works/47070043"
"Idk a random Genshin chatfic or smthing","MewnCat","原神 | Genshin Impact (Video Game)","M/M, Multi","Kong | Aether/Venti (Genshin Impact), Baizhu & Yanfei (Genshin Impact), Klee & Qiqi (Genshin Impact), Hu Tao & Tartaglia | Childe (Genshin Impact), Hu Tao & Xiao | Alatus (Genshin Impact), Xiao | Alatus & Zhongli (Genshin Impact), Baizhu & Qiqi (Genshin Impact), Kaedehara Kazuha/Scaramouche/Shikanoin Heizou, Puppet Raiden Shogun | Baal & Scaramouche, Gorou & Sangonomiya Kokomi, Kong | Aether & Shikanoin Heizou, Kong | Aether & Sayu (Genshin Impact), Alhaitham & Kaveh (Genshin Impact), Alhaitham/Kaveh (Genshin Impact), Collei & Cyno (Genshin Impact), Collei & Tighnari (Genshin Impact), Nahida & Tighnari (Genshin Impact), Kong | Aether (Genshin Impact) & Everyone","Kong | Aether (Genshin Impact), Venti (Genshin Impact), Diluc (Genshin Impact), Kaeya (Genshin Impact), Jean (Genshin Impact), Amber (Genshin Impact), Katheryne (Genshin Impact), Barbara (Genshin Impact), Lisa (Genshin Impact), Noelle (Genshin Impact), Klee (Genshin Impact), Xiao | Alatus (Genshin Impact), Zhongli (Genshin Impact), Hu Tao (Genshin Impact), Qiqi (Genshin Impact), Tartaglia | Childe (Genshin Impact), Baizhu (Genshin Impact), Yanfei (Genshin Impact), Puppet Raiden Shogun | Baal, Kaedehara Kazuha, Gorou (Genshin Impact), Sangonomiya Kokomi, Sayu (Genshin Impact), Shikanoin Heizou, Yae Miko (Genshin Impact), Scaramouche (Genshin Impact), Alhaitham (Genshin Impact), Collei (Genshin Impact), Cyno (Genshin Impact), Nahida (Genshin Impact), Tighnari (Genshin Impact), Kaveh (Genshin Impact)","help-, what is this-, idk - Freeform, My First Fanfic, if this even counts as a fanfic, chatfic, Chaos, Messy, Other Additional Tags to Be Added, Additional Warnings In Author's Note, Out of Character, OOC, Very OOC, I'm Bad At Titles, I'm Bad At Tagging, Mild Language, Venti doesn’t know how to spell, Tags Are Hard, Tags May Change, Other Ships Not Mentioned in Tags, Ships and relationships are not organized, I ship Kaveh x Alhaitham and Tighnari x Cyno but they don't really have ship moments, Aether is everywhere, Aether even saw your browser history","Teen And Up Audiences","Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply","16 May 2023","3,457","=""7/?""","Basically just a chatfic.I’m planning on adding other chapters with different characters and ships and stuff. It’s gonna be based on the different nations/countries/regions of Teyvat(chapter 1 is for Mondstadt, so it has characters from Mondstadt like Jean, Venti, Diluc, etc.) so there’s gonna be more.This is my first time doing something like this, so the quality sucks and it’s kinda ass tbh lol.I will try to update it on Tuesdays, might not always be on time, though.","4","32","1","629","http://ao3.org/works/46429231"
"Silence Between Us","brandileigh2003","Harry Potter - J. K. Rowling","M/M","Sirius Black/Remus Lupin, Regulus Black/James Potter","Lily Evans Potter, Euphemia Potter, Fleamont Potter, Mary Macdonald (Harry Potter), Sirius Black, James Potter, Regulus Black, Remus Lupin, Lily Evans, Snuffles","Disabled Remus Lupin, Disabled Character, Fluff and Angst, Angst with a Happy Ending, Service Dogs, Deaf Character, Deaf Remus Lupin, Mental Illness, Walburga black a++ parenting, background marylily, Texting, features texts in some chapters anyways, Sign Language, Demisexual Character, Demisexual Remus Lupin, past abuse to a minor, its not detailed but mentioned, Seizures, Soft wolfstar, Strangers to Lovers, we hate lyall and fenrir in this fic, Lily and Remus friendship, moonflower friendship","Mature","Creator Chose Not To Use Archive Warnings","16 May 2023","30,684","=""16/16""","Sirius met Remus at a party and was intrigued by him as he danced (badly) on a table, took off his shirt (displaying a beautiful tattoo), randomly hugged Sirius, then kept staring at his lips but never tried to kiss him.And he also never answered his questions, not even giving his name.","74","160","37","4663","http://ao3.org/works/44721550"
"What If, Hope Was More Than A Pipe Dream","Milk_For_Camille","僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)","Other","Midoriya Izuku & Original Character(s), Midoriya Izuku & Takami Keigo | Hawks, Midoriya Izuku & Midoriya Izuku's Family, Hatsume Mei & Midoriya Izuku, Midoriya Izuku & Todoroki Natsuo, Midoriya Izuku & Rody Soul, Other Relationship Tags to Be Added","Original Characters, Rody Soul, Takami Keigo | Hawks, Midoriya Izuku, Midoriya Izuku's Family, Midoriya Inko, Midoriya Hisashi, Hatsume Mei, Todoroki Natsuo, Other Character Tags to Be Added","Nonbinary Character, Nonbinary Midoriya Izuku, Gender Dysphoria, Gender-Neutral Pronouns, Alternate Universe - Gender Changes, Alternate Universe - Canon Divergence, Alternate Universe, chatfic, Secret Identity, Codenames, Online Friendship, Secret Organizations, Spies & Secret Agents, Hero Public Safety Commission Bashing (My Hero Academia), Quirkless Midoriya Izuku, Midoriya Izuku is a Dork, Midoriya Izuku is Bad at Feelings, Vigilante Midoriya Izuku, Kinda?, Pilot Rody Soul, Takami Keigo | Hawks Needs a Hug, Midoriya Izuku Needs A Hug, Midoriya Izuku Needs Therapy, Takami Keigo | Hawks is a Dork, Other Additional Tags to Be Added, Tags May Change","Not Rated","No Archive Warnings Apply","16 May 2023","3,015","=""2/?""","Hope was a funny thing. It often had no basis in reality, and its lifespan was always fluctuating. In all truth, it often seemed inane to try and live with hope when reality came in with the intent to kill every last remaining piece of it. Life was not kind, and hope was not a strong enough shield to defend against its blades.
This is one of the three facts of the universe that so many kids are forced to learn early, that so many adults enforce unknowingly. Not all men are created equal, hope cannot be a shield, and everything must end one day. Truths that can’t be unlearned, truths that rule over the less fortunate while lifting up the lucky.
But like the third fact states, everything will meet its end, even the facts and truths that have lasted since the beginning of time. And sometimes, it just takes one boy to take it all down…
~
AKA, a semi-illegal online favor ring made to help the less fortunate, with some moral ambiguity, hacking, and definitely-not-vigilantism, featuring a lot of original characters.","2","5","2","62","http://ao3.org/works/46886041"
"Scream VI Chatfic/Groupchat","WowzaG","Scream (Movies)","F/F, F/M, M/M","Ethan Landry/Chad Meeks-Martin, Anika Kayoko/Mindy Meeks-Martin, Tara Carpenter/Amber Freeman, Danny Brackett/Sam Carpenter","Quinn Bailey (Scream), Ethan Landry (Scream), Sam Carpenter (Scream), Tara Carpenter, Danny Brackett, Chad Meeks-Martin, Mindy Meeks-Martin, Anika Kayoko, Amber Freeman (Scream)","No Ghostface (Scream), Fluff, Humor, Comfort, Friendship, chatfic, Romance, groupchat, idk what else to tag","Not Rated","No Archive Warnings Apply","16 May 2023","1,123","=""4/?""","Basically a chatfic with the characters from scream five and six and the events in scream 6 didn’t happen but scream 5 did except amber wasn’t ghostface and wes & liv didn’t die (yeah idk)
This is my first fic so be nice and please give me some constructive criticism","2","40","3","419","http://ao3.org/works/47182876"
